tick,price
924,1268.8
925,1268.8
926,1268.8
927,1268.8
928,1268.8
929,1268.8
930,1268.8
931,1268.8
932,1268.8
933,1268.8
934,1268.8
935,1268.8
936,1268.8
937,1268.8
938,1268.8
939,1268.8
940,1267.8
941,1267.8
942,1267.8
943,1267.8
944,1267.8
945,1267.6
946,1267.6
947,1267.6
948,1267.6
949,1269
950,1269
951,1269
952,1269
953,1268.6
954,1268.6
955,1267.6
956,1267.6
957,1267.6
958,1268.6
959,1268.6
960,1268.6
961,1268.6
962,1268.6
963,1268.6
964,1268.6
965,1268.8
966,1268.8
967,1268.8
968,1268.8
969,1268.8
970,1268.8
971,1268.8
972,1268.8
973,1268.8
974,1267.8
975,1267.8
976,1269
977,1269
978,1269
979,1269
980,1269
981,1269
982,1268.6
983,1267.6
984,1267.6
985,1267.6
986,1267.6
987,1267.6
988,1267.6
989,1267.6
990,1267.6
991,1267.6
992,1267.6
993,1267.6
994,1267.6
995,1267.6
996,1267.6
997,1267.6
998,1268
999,1268.4
1000,1267.4
1001,1267.4
1002,1267.4
1003,1267.4
1004,1267.4
1005,1268.4
1006,1268.4
1007,1268.4
1008,1268.4
1009,1268.4
1010,1268.4
1011,1268.4
1012,1268.8
1013,1268.8
1014,1267.8
1015,1266.8
1016,1266.8
1017,1266.8
1018,1266.8
1019,1266.8
1020,1268.2
1021,1267.2
1022,1267.2
1023,1267.4
1024,1267.4
1025,1267.4
1026,1267.4
1027,1267.4
1028,1267.4
1029,1267.4
1030,1267.4
1031,1267.4
1032,1267.4
1033,1267.4
1034,1267.4
1035,1267.4
1036,1267.4
1037,1267.4
1038,1267.4
1039,1267.4
1040,1267.4
1041,1267.4
1042,1267.4
1043,1267.4
1044,1267.4
1045,1267.4
1046,1268.4
1047,1268.4
1048,1268.4
1049,1268.4
1050,1268.4
1051,1268.4
1052,1268.4
1053,1268.4
1054,1268.4
1055,1268.4
1056,1268.4
1057,1268.4
1058,1268.4
1059,1268.4
1060,1268.4
1061,1267.4
1062,1267.4
1063,1267.4
1064,1267.4
1065,1267.4
1066,1268
1067,1268
1068,1268
1069,1268.2
1070,1268.2
1071,1268.2
1072,1268.2
1073,1268.2
1074,1268.2
1075,1268.2
1076,1268.2
1077,1268.2
1078,1268.2
1079,1268.2
1080,1268.2
1081,1268.2
1082,1268.2
1083,1268.4
1084,1268.4
1085,1268.4
1086,1268.4
1087,1268.4
1088,1268.4
1089,1268.2
1090,1268.2
1091,1268.2
1092,1268.2
1093,1268.2
1094,1268.2
1095,1268.2
1096,1268.2
1097,1268.2
1098,1268.2
1099,1268.2
1100,1268.2
1101,1268.2
1102,1268.2
1103,1268.2
1104,1268.2
1105,1268.2
1106,1268.4
1107,1268.4
1108,1268.4
1109,1268.4
1110,1268.4
1111,1268.4
1112,1268.8
1113,1268.8
1114,1269
1115,1268.8
1116,1268.8
1117,1268.8
1118,1268.8
1119,1268.8
1120,1268.8
1121,1268.8
1122,1268.8
1123,1268.8
1124,1268.8
1125,1268.8
1126,1268.8
1127,1268.8
1128,1268.8
1129,1268.8
1130,1268.8
1131,1268.8
1132,1268.8
1133,1268.8
1134,1268.8
1135,1268.8
1136,1268.8
1137,1269
1138,1269
1139,1269
1140,1269
1141,1269
1142,1269
1143,1268.6
1144,1268.6
1145,1268.6
1146,1268.6
1147,1268.6
1148,1268.6
1149,1268.6
1150,1268.6
1151,1268.6
1152,1268.6
1153,1268.6
1154,1268.6
1155,1268.6
1156,1268.8
1157,1268.6
1158,1268.2
1159,1268.2
1160,1268.2
1161,1268.2
1162,1268.2
1163,1268.2
1164,1268.2
1165,1268.2
1166,1268.2
1167,1268.2
1168,1268.2
